LEVEL1,LEVEL2,LEVEL3,LEVEL4,TOOLTIP,SOURCE,SOURCE URL,2012,2013,2014,2015,2016,2017,LEVEL
Community Development Block Grant,Community Development,Capital Project Expense,Acquisition Costs,,,,684321,760638,392660,532000,88500,773000,4
Community Development Block Grant,Community Development,Capital Project Expense,Design/Planning Contracts,,,,35000,150000,120000,130000,225000,50000,4
Community Development Block Grant,Community Development,Capital Project Expense Total,,,,,719321,910638,512660,662000,313500,823000,3
Community Development Block Grant,Community Development,Direct Expenses,Appraisal/Environmental Assess,,,,30000,,,,,25000,4
Community Development Block Grant,Community Development,Direct Expenses,Building Demolition,,,,37500,85000,126417,134855,57500,110000,4
Community Development Block Grant,Community Development,Direct Expenses,Computer Lease,,,,,,,5928,3897,4721,4
Community Development Block Grant,Community Development,Direct Expenses,Electric Service,,,,5500,5500,5500,5500,5500,,4
Community Development Block Grant,Community Development,Direct Expenses,Property Maintenance,,,,50000,80000,39160,45000,45000,45000,4
Community Development Block Grant,Community Development,Direct Expenses Total,,,,,123000,170500,171077,191283,111897,184721,3
Community Development Block Grant,Community Development,Employee Benefits,Dental Insurance,,,,,5772,,,,6104,4
Community Development Block Grant,Community Development,Employee Benefits,Dental Insurance Increment,,,,,115,,,,,4
Community Development Block Grant,Community Development,Employee Benefits,Employee Benefits,,,,,,192159,183627,,,4
Community Development Block Grant,Community Development,Employee Benefits,FICA Temp,,,,,930,,,,,4
Community Development Block Grant,Community Development,Employee Benefits,Group Life AD & D (Retiree),,,,,,,,677,667,4
Community Development Block Grant,Community Development,Employee Benefits,Group Life Ad & Di,,,,,607,,,,590,4
Community Development Block Grant,Community Development,Employee Benefits,Health Insurance,,,,,96514,,,,89113,4
Community Development Block Grant,Community Development,Employee Benefits,Health Insurance (Retiree),,,,,,,,22347,25000,4
Community Development Block Grant,Community Development,Employee Benefits,Health Insurance Increment,,,,,-7432,,,,4219,4
Community Development Block Grant,Community Development,Employee Benefits,Medicare,,,,,9775,,,,9511,4
Community Development Block Grant,Community Development,Employee Benefits,Medicare Supplement,,,,,,,,3600,3600,4
Community Development Block Grant,Community Development,Employee Benefits,Medicare Temp,,,,,218,,,,,4
Community Development Block Grant,Community Development,Employee Benefits,Opeb- Post Employment Benefits,,,,,,,36952,,,4
Community Development Block Grant,Community Development,Employee Benefits,Retirement,,,,,45437,,,,47557,4
Community Development Block Grant,Community Development,Employee Benefits,Social Security,,,,,41797,,,,40670,4
Community Development Block Grant,Community Development,Employee Benefits,Supplemental Retirement,,,,,11579,,,,14278,4
Community Development Block Grant,Community Development,Employee Benefits Total,,,,,,205312,192159,220579,26624,241309,3
Community Development Block Grant,Community Development,Interfund Transfers In/Out,To 100 Ind Cost,,,,265000,216393,225609,151573,182835,170378,4
Community Development Block Grant,Community Development,Interfund Transfers In/Out,To 460 Reimb Engineering Stm W,,,,5000,200,1040,200,200,,4
Community Development Block Grant,Community Development,Interfund Transfers In/Out,To 501 ERP Debt Service,,,,,,,11902,7725,,4
Community Development Block Grant,Community Development,Interfund Transfers In/Out,To 501 Technology Cap Proj,,,,,,,6263,2621,,4
Community Development Block Grant,Community Development,Interfund Transfers In/Out Total,,,,,270000,216593,226649,169938,193381,170378,3
Community Development Block Grant,Community Development,Miscellaneous,Relocation,,,,115000,222000,375000,120000,25500,238734,4
Community Development Block Grant,Community Development,Miscellaneous Total,,,,,115000,222000,375000,120000,25500,238734,3
Community Development Block Grant,Community Development,Other Expense,Administration - Gr,,,,125383,,,,,,4
Community Development Block Grant,Community Development,Other Expense,Disposition - Gr,,,,15000,,,,,50000,4
Community Development Block Grant,Community Development,Other Expense,Eco Dev/Job Trng-Gr,,,,125000,75000,76000,76000,76000,75000,4
Community Development Block Grant,Community Development,Other Expense,Fair Housing - Gr,,,,20000,5000,5000,20000,20000,5000,4
Community Development Block Grant,Community Development,Other Expense,Field Operatingions - Gr,,,,607417,,,,,,4
Community Development Block Grant,Community Development,Other Expense,Grant Expend Reimb,,,,,,,,844565,,4
Community Development Block Grant,Community Development,Other Expense,Neighborhood Dev Program-Gr,,,,200000,200000,200000,175000,275000,275000,4
Community Development Block Grant,Community Development,Other Expense,Neighborhood Police - Gr,,,,7800,7800,7800,7800,7800,7800,4
Community Development Block Grant,Community Development,Other Expense,Planning - Gr,,,,120063,,,,,,4
Community Development Block Grant,Community Development,Other Expense,Rehabilitation Warranty - Gr,,,,30000,30000,20000,,,,4
Community Development Block Grant,Community Development,Other Expense,Rehabilitation/Rehab Loans - G,,,,209342,161867,76788,141000,,700000,4
Community Development Block Grant,Community Development,Other Expense,Service Fees - Gr,,,,25000,25000,25000,25000,25000,25000,4
Community Development Block Grant,Community Development,Other Expense,Site Improvements - Gr,,,,,200000,800000,1148260,1972602,791760,4
Community Development Block Grant,Community Development,Other Expense,Tenant/Homeowner Counseling-Gr,,,,70000,70000,70000,73500,73500,75000,4
Community Development Block Grant,Community Development,Other Expense Total,,,,,1555005,774667,1280588,1666560,3294467,2004560,3
Community Development Block Grant,Community Development,Salaries and Wages,FT Salary-CDBG Admiin-Gr,,,,,,297583,,,,4
Community Development Block Grant,Community Development,Salaries and Wages,FT Salary-CDBG Field Ops-Gr,,,,,,315344,,,,4
Community Development Block Grant,Community Development,Salaries and Wages,Longevity,,,,,11709,,,,6258,4
Community Development Block Grant,Community Development,Salaries and Wages,Merit Increase,,,,,22,,,,,4
Community Development Block Grant,Community Development,Salaries and Wages,Range Increase,,,,,22,,,,,4
Community Development Block Grant,Community Development,Salaries and Wages,Salaries-Ft,,,,,662386,,,,649701,4
Community Development Block Grant,Community Development,Salaries and Wages,Salaries-Pt Temp/Seasonal,,,,,15000,,,,,4
Community Development Block Grant,Community Development,Salaries and Wages,Salary Reserve,,,,,,,623469,,,4
Community Development Block Grant,Community Development,Salaries and Wages Total,,,,,,689139,612927,623469,,655960,3
Community Development Block Grant,Community Development Total,,,,,,2782326,3188849,3371060,3653829,3965369,4318661,2
