Fund,Department,Type,Account,Current,Amount,Revenue,Annotation
Community Dev Block Grant,Community Development,Capital Project Expense,Acquisition Costs,773000,684500,FALSE,0
Community Dev Block Grant,Community Development,Capital Project Expense,Design/Planning Contracts,50000,-175000,FALSE,0
Community Dev Block Grant,Community Development,Direct Expenses,Appraisal/Environmental Assess,25000,25000,FALSE,0
Community Dev Block Grant,Community Development,Direct Expenses,Building Demolition,110000,52500,FALSE,0
Community Dev Block Grant,Community Development,Direct Expenses,Computer Lease,4721,824,FALSE,0
Community Dev Block Grant,Community Development,Direct Expenses,Electric Service,,-5500,FALSE,0
Community Dev Block Grant,Community Development,Direct Expenses,Property Maintenance,45000,0,FALSE,0
Community Dev Block Grant,Community Development,Employee Benefits,Dental Insurance,6103.53,6103.53,FALSE,0
Community Dev Block Grant,Community Development,Employee Benefits,Group Life AD & D (Retiree),667,-10,FALSE,0
Community Dev Block Grant,Community Development,Employee Benefits,Group Life Ad & Di,590.37,590.37,FALSE,0
Community Dev Block Grant,Community Development,Employee Benefits,Health Insurance,89112.98,89112.98,FALSE,0
Community Dev Block Grant,Community Development,Employee Benefits,Health Insurance (Retiree),25000,2653,FALSE,0
Community Dev Block Grant,Community Development,Employee Benefits,Health Insurance Increment,4218.96,4218.96,FALSE,0
Community Dev Block Grant,Community Development,Employee Benefits,Medicare,9511.43,9511.43,FALSE,0
Community Dev Block Grant,Community Development,Employee Benefits,Medicare Supplement,3600,0,FALSE,0
Community Dev Block Grant,Community Development,Employee Benefits,Retirement,47557.08,47557.08,FALSE,0
Community Dev Block Grant,Community Development,Employee Benefits,Social Security,40669.51,40669.51,FALSE,0
Community Dev Block Grant,Community Development,Employee Benefits,Supplemental Retirement,14277.71,14277.71,FALSE,0
Community Dev Block Grant,Community Development,Interfund Transfers In/Out,To 100 Ind Cost,170378,-12457,FALSE,0
Community Dev Block Grant,Community Development,Interfund Transfers In/Out,To 460 Reimb Engineering Stm W,,-200,FALSE,0
Community Dev Block Grant,Community Development,Interfund Transfers In/Out,To 501 ERP Debt Service,,-7725,FALSE,0
Community Dev Block Grant,Community Development,Interfund Transfers In/Out,To 501 Technology Cap Proj,,-2621,FALSE,0
Community Dev Block Grant,Community Development,Miscellaneous,Relocation,238734,213234,FALSE,0
Community Dev Block Grant,Community Development,Other Expense,Disposition - Gr,50000,50000,FALSE,0
Community Dev Block Grant,Community Development,Other Expense,Eco Dev/Job Trng-Gr,75000,-1000,FALSE,0
Community Dev Block Grant,Community Development,Other Expense,Fair Housing - Gr,5000,-15000,FALSE,0
Community Dev Block Grant,Community Development,Other Expense,Grant Expend Reimb,,-844565,FALSE,0
Community Dev Block Grant,Community Development,Other Expense,Neighborhood Dev Program-Gr,275000,0,FALSE,0
Community Dev Block Grant,Community Development,Other Expense,Neighborhood Police - Gr,7800,0,FALSE,0
Community Dev Block Grant,Community Development,Other Expense,Rehabilitation/Rehab Loans - G,700000,700000,FALSE,0
Community Dev Block Grant,Community Development,Other Expense,Service Fees - Gr,25000,0,FALSE,0
Community Dev Block Grant,Community Development,Other Expense,Site Improvements - Gr,791759.74,-1180842.26,FALSE,0
Community Dev Block Grant,Community Development,Other Expense,Tenant/Homeowner Counseling-Gr,75000,1500,FALSE,0
Community Dev Block Grant,Community Development,Salaries and Wages,Longevity,6258.22,6258.22,FALSE,0
Community Dev Block Grant,Community Development,Salaries and Wages,Salaries-Ft,649701.47,649701.47,FALSE,0
Convention Center Financing Fund-Special Revenue,Finance Administration,Capital Project Expense,Biannual Budget Reserve,4249539,2817348,FALSE,0
Convention Center Financing Fund-Special Revenue,Finance Administration,Direct Expenses,Special Projects & Programs,500000,0,FALSE,0
Convention Center Financing Fund-Special Revenue,Finance Administration,Interfund Transfers In/Out,To 642 Civic Ctr Renov,3018750,87925,FALSE,0
Convention Center Financing Fund-Special Revenue,Finance Administration,Interfund Transfers In/Out,To 648 New Rcc Complex Fund,2709000,1557000,FALSE,0
Convention Center Financing Fund-Special Revenue,Treasury Office,Direct Expenses,Special Projects & Programs,450000,0,FALSE,0
Convention Center Financing Fund-Special Revenue,Treasury Office,Interfund Transfers In/Out,To 644 Convention Ctr Debt Svc,18475783,-1137,FALSE,0
E 911 State Tax Fund-Operating,Emergency Communications,Capital Equipment,Communications Equip,15000,0,FALSE,0
E 911 State Tax Fund-Operating,Emergency Communications,Capital Equipment,Office Furniture & Equip,8400,0,FALSE,0
E 911 State Tax Fund-Operating,Emergency Communications,Direct Expenses,Computer Lease,7857,-7143,FALSE,0
E 911 State Tax Fund-Operating,Emergency Communications,Direct Expenses,Computer Operations & Access,494000,77000,FALSE,0
E 911 State Tax Fund-Operating,Emergency Communications,Direct Expenses,Operational & Maint Supplies,2500,1500,FALSE,0
E 911 State Tax Fund-Operating,Emergency Communications,Direct Expenses,Professional Svcs-Other,168750,0,FALSE,0
E 911 State Tax Fund-Operating,Emergency Communications,Direct Expenses,Rsv-Program,58323,58323,FALSE,0
E 911 State Tax Fund-Operating,Emergency Communications,Direct Expenses,Rsv-Wide Area Network,743.73,0,FALSE,0
