LEVEL1,LEVEL2,LEVEL3,LEVEL4,TOOLTIP,SOURCE,SOURCE URL,2012,2013,2014,2015,2016,2017,LEVEL
Community Dev Block Grant,Community Development,CDBG Acquisition,Employee Benefits,,,,,,,,,"6,217",4
Community Dev Block Grant,Community Development,CDBG Acquisition,Salaries and Wages,,,,,,,,,"20,028",4
Community Dev Block Grant,Community Development,CDBG Acquisition Total,,,,,,,,,,"26,245",3
Community Dev Block Grant,Community Development,CDBG Administration,Direct Expenses,,,,,,,"5,928","3,897","4,721",4
Community Dev Block Grant,Community Development,CDBG Administration,Employee Benefits,,,,,,,"36,952","26,624","102,464",4
Community Dev Block Grant,Community Development,CDBG Administration,Interfund Transfers In/Out,,,,,,,"18,165","193,181","170,378",4
Community Dev Block Grant,Community Development,CDBG Administration,Other Expense,,,,,,,,"306,559","30,000",4
Community Dev Block Grant,Community Development,CDBG Administration,Salaries and Wages,,,,,,,,,"220,235",4
Community Dev Block Grant,Community Development,CDBG Administration Total,,,,,,,,"61,045","530,261","527,798",3
Community Dev Block Grant,Community Development,CDBG Demolition,Employee Benefits,,,,,,,,,"5,298",4
Community Dev Block Grant,Community Development,CDBG Demolition,Salaries and Wages,,,,,,,,,"19,388",4
Community Dev Block Grant,Community Development,CDBG Demolition Total,,,,,,,,,,"24,686",3
Community Dev Block Grant,Community Development,CDBG Planning Admin,Employee Benefits,,,,,,,,,"55,802",4
Community Dev Block Grant,Community Development,CDBG Planning Admin,Other Expense,,,,,,,,"244,627",,4
Community Dev Block Grant,Community Development,CDBG Planning Admin,Salaries and Wages,,,,,,,,,"155,598",4
Community Dev Block Grant,Community Development,CDBG Planning Admin Total,,,,,,,,,"244,627","211,401",3
Community Dev Block Grant,Community Development,CDBG Planning/Design,Employee Benefits,,,,,,,,,"9,476",4
Community Dev Block Grant,Community Development,CDBG Planning/Design,Salaries and Wages,,,,,,,,,"33,615",4
Community Dev Block Grant,Community Development,CDBG Planning/Design Total,,,,,,,,,,"43,091",3
Community Dev Block Grant,Community Development,CDBG Property Maint,Employee Benefits,,,,,,,,,"7,833",4
Community Dev Block Grant,Community Development,CDBG Property Maint,Salaries and Wages,,,,,,,,,"28,620",4
Community Dev Block Grant,Community Development,CDBG Property Maint Total,,,,,,,,,,"36,453",3
Community Dev Block Grant,Community Development,CDBG Public Svcs,Employee Benefits,,,,,,,,,"7,520",4
Community Dev Block Grant,Community Development,CDBG Public Svcs,Salaries and Wages,,,,,,,,,"23,973",4
Community Dev Block Grant,Community Development,CDBG Public Svcs Total,,,,,,,,,,"31,493",3
Community Dev Block Grant,Community Development,CDBG Public Works,Employee Benefits,,,,,,,,,"20,166",4
Community Dev Block Grant,Community Development,CDBG Public Works,Salaries and Wages,,,,,,,,,"75,985",4
Community Dev Block Grant,Community Development,CDBG Public Works Total,,,,,,,,,,"96,151",3
Community Dev Block Grant,Community Development,CDBG Rehabilitation,Employee Benefits,,,,,,,,,"17,159",4
Community Dev Block Grant,Community Development,CDBG Rehabilitation,Salaries and Wages,,,,,,,,,"52,540",4
Community Dev Block Grant,Community Development,CDBG Rehabilitation Total,,,,,,,,,,"69,699",3
Community Dev Block Grant,Community Development,CDBG Relocation,Employee Benefits,,,,,,,,,"9,373",4
Community Dev Block Grant,Community Development,CDBG Relocation,Salaries and Wages,,,,,,,,,"25,978",4
Community Dev Block Grant,Community Development,CDBG Relocation Total,,,,,,,,,,"35,351",3
Community Dev Block Grant,Community Development,Grant Year 11/12,Capital Project Expense,,,,"719,321","118,500",,,,,4
Community Dev Block Grant,Community Development,Grant Year 11/12,Direct Expenses,,,,"123,000",,,,,,4
Community Dev Block Grant,Community Development,Grant Year 11/12,Interfund Transfers In/Out,,,,"270,000",,,,,,4
Community Dev Block Grant,Community Development,Grant Year 11/12,Miscellaneous,,,,"115,000",,,,,,4
Community Dev Block Grant,Community Development,Grant Year 11/12,Other Expense,,,,"1,555,005",,,,,,4
Community Dev Block Grant,Community Development,Grant Year 11/12 Total,,,,,"2,782,326","118,500",,,,,3
Community Dev Block Grant,Community Development,Grant Year 2012/2013,Capital Project Expense,,,,,"792,138",,,,,4
Community Dev Block Grant,Community Development,Grant Year 2012/2013,Direct Expenses,,,,,"170,500",,,,,4
Community Dev Block Grant,Community Development,Grant Year 2012/2013,Employee Benefits,,,,,"205,312",,,,,4
