Fund,Department,Type,Account,Current,Amount,Revenue,Annotation
Public Utilities Fund,Public Utilities-Spec Appropri,Interfund Transfers In/Out,To 320 Water Bond,29760000,13960000,FALSE,0
Public Transit Fund-Operatingin,Transit Operatingions -Trans Sv,Miscellaneous,Transit Operatinging Subsidy,12634784,12634784,FALSE,0
Stormwater Utility Fund,Stormwater Mgmt-Eng Svcs,Interfund Transfers In/Out,To 470 Stormwater Cap Proj Fun,10232000,10232000,FALSE,0
General Fund,Transportation Services,Salaries and Wages,Salaries-Ft,8217039,8217039,FALSE,0
Public Transit Fund-Operatingin,Accessible Rail Tran-Tran Svcs,Direct Expenses,Contractual Svcs-Other,7922440,7922440,FALSE,0
General Debt Service Fund,Treasury Office,Capital Project Expense,Biannual Budget Reserve,7402948,7402948,FALSE,0
General Fund,Special Appropriations,Interfund Transfers In/Out,To 190 Debt Svc,62570595,6420645,FALSE,0
Parking Facilities Fund-Operati,Parking Operatingions -Trans Sv,Interfund Transfers In/Out,To 444 Parking Debt Service,6200000,6200000,FALSE,0
General Fund,Transportation Services,Direct Expenses,Street Lighting Cost,6100000,6100000,FALSE,0
Public Utilities Fund,Public Utilities-Spec Appropri,Direct Expenses,Rsv-M & O,8650746,5917715,FALSE,0
General Fund,Special Appropriations,Interfund Transfers In/Out,To 736 Housing Projects,5700000,5700000,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Salaries and Wages,Salaries-Ft,5581377,5581377,FALSE,0
General Fund,Special Appropriations,Interfund Transfers In/Out,To 525 Street Impv,9911000,4761000,FALSE,0
Stormwater Utility Fund,Stormwater Mgmt-Eng Svcs,Interfund Transfers In/Out,To 100 Reimb Direct St Strmwtr,4514830,4514830,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Direct Expenses,Electric Service,4423000,4423000,FALSE,0
General Fund,Building & Safety Services,Salaries and Wages,Salaries-Ft,4388789,4388789,FALSE,0
Public Transit Fund-Operatingin,Transit Operatingions -Trans Sv,Miscellaneous,Farebox Reimbursement,3612600,3612600,FALSE,0
Stormwater Utility Fund,Stormwater Mgmt-Eng Svcs,Salaries and Wages,Salaries-Ft,3410886,3410886,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Direct Expenses,Chemicals,3367753,3367753,FALSE,0
Parking Facilities Fund-Operati,Parking Operatingions -Trans Sv,Direct Expenses,Contractual Svcs-Other,3326901,3326901,FALSE,0
Public Utilities Fund,Public Utilities Customer Care ,Salaries and Wages,Salaries-Ft,2873173,2873173,FALSE,0
Convention Center Financing Fun,Finance Administration,Capital Project Expense,Biannual Budget Reserve,4249539,2817348,FALSE,0
Stormwater Utility Fund,Stormwater Mgmt-Eng Svcs,Interfund Transfers In/Out,To 100 Ind Cost,2688840,2688840,FALSE,0
