LEVEL1,LEVEL2,LEVEL3,LEVEL4,TOOLTIP,SOURCE,SOURCE URL,2012,2013,2014,2015,2016,2017,LEVEL
Community Development Block Grant,Community Development,Grant Year 11/12,Cdbg Interest Inc,,,,132471.00,,,,,,4
Community Development Block Grant,Community Development,Grant Year 11/12,Cdbg Principal Repay,,,,114959.00,,,,,,4
Community Development Block Grant,Community Development,Grant Year 11/12,Federal Grants,,,,2256455.00,,,,,,4
Community Development Block Grant,Community Development,Grant Year 11/12,Proceeds From Sale Of Property,,,,232200.00,,,,,,4
Community Development Block Grant,Community Development,Grant Year 11/12,Rental Income,,,,46241.00,,,,,,4
Community Development Block Grant,Community Development,Grant Year 11/12 Total,,,,,2782326.00,,,,,,3
Community Development Block Grant,Community Development,Grant Year 2012/2013,Cdbg Interest Inc,,,,,120575.00,,,,,4
Community Development Block Grant,Community Development,Grant Year 2012/2013,Cdbg Principal Repay,,,,,361725.00,,,,,4
Community Development Block Grant,Community Development,Grant Year 2012/2013,Federal Grants,,,,,2452706.00,,,,,4
Community Development Block Grant,Community Development,Grant Year 2012/2013,Proceeds From Sale Of Property,,,,,204000.00,,,,,4
Community Development Block Grant,Community Development,Grant Year 2012/2013,Rental Income,,,,,49842.00,,,,,4
Community Development Block Grant,Community Development,Grant Year 2012/2013 Total,,,,,,3188848.00,,,,,3
Community Development Block Grant,Community Development,Grant Year 2013/2014,Cdbg Interest Inc,,,,,,121740.00,,,,4
Community Development Block Grant,Community Development,Grant Year 2013/2014,Cdbg Principal Repay,,,,,,284060.00,,,,4
Community Development Block Grant,Community Development,Grant Year 2013/2014,Federal Grants,,,,,,2672184.00,,,,4
Community Development Block Grant,Community Development,Grant Year 2013/2014,Proceeds From Sale Of Property,,,,,,236000.00,,,,4
Community Development Block Grant,Community Development,Grant Year 2013/2014,Rental Income,,,,,,57076.00,,,,4
Community Development Block Grant,Community Development,Grant Year 2013/2014 Total,,,,,,,3371060.00,,,,3
Community Development Block Grant,Community Development,Non-Program Revenues,Cdbg Interest Inc,,,,,,,102000.00,105700.00,84700.00,4
Community Development Block Grant,Community Development,Non-Program Revenues,Cdbg Principal Repay,,,,,,,200000.00,196300.00,200000.00,4
Community Development Block Grant,Community Development,Non-Program Revenues,Federal Grants,,,,,,,2690753.00,2809629.00,2809629.00,4
Community Development Block Grant,Community Development,Non-Program Revenues,Proceeds From Sale Of Property,,,,,,,604000.00,812000.00,1203802.00,4
Community Development Block Grant,Community Development,Non-Program Revenues,Rental Income,,,,,,,57076.00,41740.00,20530.00,4
Community Development Block Grant,Community Development,Non-Program Revenues Total,,,,,,,,3653829.00,3965369.00,4318661.00,3
Community Development Block Grant,Community Development Total,,,,,,2782326.00,3188848.00,3371060.00,3653829.00,3965369.00,4318661.00,2
